Time,GDP growth (annual %),"Inflation, consumer prices (annual %)",GDP (constant LCU),Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)"
1975,-1.473649451,24.20728767,8.81198E+11,10.46769167,4
1976,2.910266126,16.55952256,9.06843E+11,11.10095,5.5
1977,2.457750454,15.84026675,9.29131E+11,8.911866667,5.8
1978,4.204260542,8.263141039,9.68194E+11,9.09315,5.7
1979,3.749016651,13.42127998,1.00449E+12,13.69480833,5.3
1980,-2.031367792,17.96592427,9.84087E+11,16.31268333,6.8
1981,-0.787743871,11.87662651,9.76335E+11,13.255,10.4
1982,1.994891227,8.598863833,9.95812E+11,11.93096667,10.9
1983,4.22185633,4.609303273,1.03785E+12,9.825266667,11.088
1984,2.269105188,4.960710978,1.0614E+12,9.6801,10.901
1985,4.147415009,6.07139434,1.10542E+12,12.25298333,11.48
1986,3.150340609,3.427609404,1.14025E+12,10.90135833,11.508
1987,5.392738322,4.148922321,1.20174E+12,9.7355,11.017
1988,5.732413574,4.155351716,1.27063E+12,10.09570833,9.004
1989,2.57760283,5.760249092,1.30338E+12,13.84180833,7.405
1990,0.73375547,8.063460909,1.31294E+12,14.76811667,6.969
1991,-1.103121666,7.461782957,1.29846E+12,11.69498333,8.55
1992,0.401082086,4.591549296,1.30367E+12,9.563483333,9.772
1993,2.489830929,2.558577969,1.33613E+12,6.013633333,10.346
1994,3.84600918,2.219012605,1.38751E+12,5.462783333,9.648
1995,2.531670005,2.697495183,1.42264E+12,6.693675,8.694
1996,2.581993875,2.851782364,1.45937E+12,5.958533333,8.189
1997,4.9246483,2.201143135,1.53124E+12,6.5634,7.072
1998,3.402658228,1.820561637,1.58335E+12,7.23205,6.198
1999,3.05832327,1.752950801,1.63177E+12,5.344408333,6.042
2000,4.341634193,1.182956242,1.70262E+12,5.963891667,5.558
2001,2.57278044,1.532349603,1.74642E+12,5.122375,4.696
2002,1.795660741,1.520402459,1.77778E+12,4,5.037
2003,3.152346519,1.376500385,1.83382E+12,3.695791667,4.807
2004,2.457904438,1.390397567,1.8789E+12,4.379816667,4.594
2005,2.732660767,2.08913649,1.93024E+12,4.648675,4.884
2006,2.380694035,2.455661664,1.97619E+12,4.638258333,5.473
2007,2.624879953,2.386561508,2.02807E+12,5.508708333,5.399
2008,-0.248797261,3.521408563,2.02302E+12,4.675308333,5.748
2009,-4.620553708,1.961731736,1.92955E+12,0.644866667,7.683
2010,2.233315088,2.492654725,1.97264E+12,0.5,7.973
2011,1.138362398,3.856112447,1.99509E+12,0.5,8.195
2012,1.508998347,2.573234797,2.0252E+12,0.5,8.279
2013,1.799921497,2.291666667,2.06165E+12,0.5,7.752
2014,3.194637319,1.451120163,2.12751E+12,0.5,6.398
2015,2.222888423,0.368046842,2.17481E+12,..,5.552
2016,1.921710099,1.008417368,2.2166E+12,..,4.909
2017,2.656504876,2.557755776,2.27548E+12,..,4.501
2018,1.40519026,2.292839903,2.30746E+12,..,4.145
2019,1.62447518,1.738104601,2.34494E+12,..,3.657
2020,-10.29691886,0.989486704,2.10349E+12,..,4.518
2021,8.575950874,2.518371096,2.28388E+12,..,4.865
2022,4.839085179,7.922048831,2.3944E+12,..,3.768
2023,0.397082346,6.793967068,2.40391E+12,..,4.025
2024,1.100667866,3.271572946,2.43037E+12,..,..
